timestamp,x,y,z
1525417319047,2.54,-1.87,8.25
1525417319239,0.37,0.13,9.60
1525417319439,0.27,0.15,9.68
1525417319638,1.40,-0.08,8.61
1525417319838,1.84,-7.98,10.48
1525417320103,-0.54,-0.72,-1.89
1525417320259,15.16,-13.18,-35.60
1525417320460,10.71,6.42,2.73
1525417320659,30.00,-31.99,-39.23
1525417320858,12.58,12.68,0.04
1525417321057,9.82,-24.06,-8.31
1525417321256,4.60,16.43,-7.84
1525417321456,5.74,-12.79,6.22
1525417321655,-1.12,2.84,-12.26
1525417321854,8.11,-3.93,7.95
1525417322053,2.28,-8.65,-36.11
1525417322252,13.69,7.81,5.90
1525417322452,22.23,-22.91,-39.05
1525417322682,9.15,14.88,-3.97
1525417322851,7.74,-15.96,2.63
1525417323049,2.34,11.45,-9.14
1525417323249,7.88,-1.69,5.56
1525417323447,0.78,0.93,-37.97
1525417323647,10.40,5.35,4.04
1525417323846,24.50,-33.97,-37.46
1525417324046,12.17,19.23,-4.79
1525417324245,6.18,-12.02,5.20
1525417324444,0.04,4.94,-15.43
1525417324644,10.65,-6.34,9.07
1525417324842,4.90,-6.95,-39.23
1525417325042,12.50,9.03,6.32
1525417325241,26.69,-36.85,-32.54
1525417325440,10.57,15.82,-10.21
1525417325672,7.02,-10.71,9.18
1525417325839,0.68,2.17,-16.62
1525417326040,12.86,-3.28,9.62
1525417326237,17.33,-17.72,-39.23
1525417326462,13.47,9.29,5.68
1525417326660,25.55,-32.71,-32.95
1525417326859,9.81,15.24,-12.00
1525417327089,3.22,-12.56,11.98
1525417327258,1.23,3.93,-11.80
1525417327458,10.44,1.40,10.42
1525417327656,-0.59,-2.21,-35.95
1525417327856,9.49,4.30,2.51
1525417328055,31.09,-35.67,-38.61
1525417328254,13.17,13.09,-6.05
1525417328454,3.55,-26.35,-3.22
1525417328652,1.92,15.73,-7.25
1525417328853,5.43,-11.41,9.30
1525417329050,1.01,1.65,-27.50
1525417329250,9.57,4.66,2.45
1525417329450,19.89,-16.81,-39.20
1525417329681,13.37,15.61,-0.12
1525417329848,19.22,-29.69,-31.75
1525417330047,11.65,14.12,0.56
1525417330246,6.84,-19.89,-0.31
1525417330445,5.72,14.17,-9.50
1525417330644,4.86,-18.41,8.79
1525417330844,0.87,4.36,-13.56
1525417331043,10.86,-3.90,6.23
1525417331242,0.33,-0.55,-37.82
1525417331441,13.80,6.10,4.13
1525417331640,31.24,-37.96,-39.23
1525417331840,14.25,13.53,-4.48
1525417332039,2.51,-16.14,-0.63
1525417332238,-1.21,6.47,-11.82
1525417332463,5.82,-3.22,3.78
1525417332661,4.51,-6.04,-39.17
1525417332895,10.94,8.17,5.04
1525417333060,27.45,-18.84,-39.23
1525417333259,7.77,16.60,-11.06
1525417333458,2.97,-17.72,3.67
1525417333657,-2.13,5.56,-9.70
1525417333857,8.97,1.33,10.78
1525417334056,-1.44,-2.08,-31.76
1525417334255,13.19,9.50,2.95
1525417334454,29.97,-15.08,-39.23
1525417334653,13.72,15.08,-4.05
1525417334853,6.53,-17.10,0.66
1525417335052,3.00,10.02,-14.94
1525417335251,5.69,-1.39,5.45
1525417335450,-2.78,0.68,-23.46
1525417335649,10.15,3.04,2.81
1525417335849,19.81,-18.34,-39.19
1525417336048,12.08,12.57,-0.50
1525417336284,10.23,-27.10,-13.40
1525417336447,5.25,13.96,-6.55
1525417336646,6.99,-7.64,1.45
1525417336845,-0.83,1.65,-15.27
1525417337044,8.72,-0.17,8.96
1525417337244,5.48,-8.26,-37.71
1525417337443,13.64,10.07,7.30
1525417337676,29.59,-22.54,-38.70
1525417337841,10.70,12.38,-4.15
1525417338041,7.36,-23.24,-2.37
1525417338240,2.31,9.86,-8.38
1525417338438,5.88,-0.97,8.41
1525417338663,0.69,-21.33,-0.65
1525417338862,5.35,-3.09,1.98
1525417339061,1.72,-0.78,9.02
1525417339261,5.75,-0.77,9.00
1525417339459,0.90,-1.89,9.90
1525417339659,1.27,-1.30,9.60
1525417339858,0.91,-1.69,9.55
1525417340057,0.98,-1.38,9.79
1525417340256,0.70,-0.74,9.98
1525417340456,0.72,-1.34,9.90
1525417340655,0.70,-0.99,9.64
1525417340854,0.52,-1.20,9.67
1525417341053,0.45,-1.18,9.62
1525417341252,0.37,-1.10,9.71
1525417341452,0.28,-1.36,9.87
1525417341651,0.23,-1.10,9.50
1525417341850,0.32,-1.25,9.58
1525417342050,0.31,-0.52,9.65
1525417342249,-0.24,0.10,10.22
1525417342448,0.28,-3.06,10.02
1525417342647,0.56,-0.40,9.79
1525417342846,0.36,-0.23,9.76
1525417343045,0.44,-0.43,9.81
1525417343245,0.17,-0.72,10.15
1525417343444,-0.70,-1.66,8.16
1525417343643,0.01,-0.51,8.89
1525417343842,-0.09,-0.91,9.81
1525417344041,0.48,-0.33,10.06
1525417344241,0.70,0.24,10.33
1525417344540,-0.06,-1.55,9.47
1525417344752,1.26,0.86,12.19
1525417344939,-0.63,-1.55,6.61
1525417345139,0.08,-0.68,9.74
1525417345337,-0.08,-1.15,9.67
1525417345562,-0.18,-1.26,9.88
1525417345660,0.04,-1.15,9.68
